Model,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC_AUC
Random Forest,0.9975,0.9920318725099602,0.9920318725099602,0.9920318725099602,0.9999448708747909
Gradient Boosting,0.9960416666666667,0.9803664921465969,0.9946879150066401,0.987475280158207,0.9999020473578875
KNN,0.9670833333333333,0.8899082568807339,0.9017264276228419,0.895778364116095,0.9893380928144765
Logistic Regression,0.9283333333333333,0.7687253613666228,0.7768924302788844,0.7727873183619551,0.9738487775280559
SVM,0.9327083333333334,0.824773413897281,0.7250996015936255,0.7717314487632508,0.9761514029541991
